,repository_name,language
0,afyareact_mod02,TypeScript
1,afya_gama_boasPraticas,JavaScript
2,afya_gama_consumoAPI,HTML
3,afya_gama_poo,JavaScript
4,afya_gama_portifolioNode,CSS
5,afya_react_api_dog,TypeScript
6,AlgaworksFullStack,Java
7,Alura,TSQL
8,app_combustivel_ts,TypeScript
9,ControleSaude,Python
10,CronJobsNode,JavaScript
11,cursoNode,JavaScript
12,Cursos-Alura,Jupyter Notebook
13,DatawarehouseSucos,TSQL
14,docker-elk,
15,DSA_AnalistaDados_4_0,Jupyter Notebook
16,Estudos_Python,Jupyter Notebook
17,FlappyBird_JS,JavaScript
18,Formacao_AnalistaDados,Jupyter Notebook
19,FundamentosPython,Jupyter Notebook
20,gostack-desafio-conceitos-nodejs,JavaScript
21,gostack-desafio-conceitos-reactjs,JavaScript
22,GoStack_Rocketseat,TypeScript
23,IA_GerarTemplateSQL,Python
24,ignite_fundamentos_nodejs,
25,igti_trab_modulo2,JavaScript
26,JS_Origamid,JavaScript
27,launchbase,JavaScript
28,linguagens_utilizadas,
29,my-bank-api,JavaScript
30,nlw4_nodejs,TypeScript
31,nlw5_nodejs,TypeScript
32,nlw6_nodejs,TypeScript
33,node_facef,JavaScript
34,pipeline_dados,
35,pos-performance-app,JavaScript
36,PowerBIDSA,
37,PytonDSA,Jupyter Notebook
38,ReactLifeCycle,JavaScript
39,React_Desafio2_IGTI,JavaScript
40,react_facef,TypeScript
41,react_native_facef,TypeScript
42,rocketseatStarter,HTML
43,SemanaOmnistack,JavaScript
44,SpringRestAlgaworks,Java
45,starwars-api,Go
46,StarWars_api,JavaScript
47,StarWars_app,TypeScript
48,trabalhoNodeFacef,TypeScript
49,TSQLFundamentals,TSQL
50,typescript-unifacef,
51,Udemy_FormacaoDBA,TSQL
52,unifacef-react,
53,unifacef-react-native,
54,unifacef-trabalho-mensageria,Java
55,unifacefgram,TypeScript
56,unifacef_microservicos,Python
